"pseudoid","term","sbjct_cd","catalog_nbr","class_section_cd","crse_ld","grade_cd","grade_basis_cd","grade_basis_ld","taken_unit","grade_pts","buffett_class","nba_program_id","course_descript","course_sect","term_course_sect","term_course","gr_course","race","gender","actcomp","hsgpa","efc","pared","cohort","t1sesa7scale","t1seaa7scale","t1matcamp7scale","t1sobcamp7scale","t1matlc7scale","t1valid7scale","t1apac4scale","t1apilc5scale","t1spilc5scale","t1engsac5scale","t1fcrlc5scale","t1fncrlc5scale","t1felc5scale","t1resiliency4scale","t1sob7scale","firstgen","sem1_cume_gpa","sem2_cume_gpa","sem3_cume_gpa","sem4_cume_gpa","sem5_cume_gpa","sem6_cume_gpa","sem7_cume_gpa","sem8_cume_gpa","sem1_term_attempted_credits_all","sem2_term_attempted_credits_all","sem3_term_attempted_credits_all","sem4_term_attempted_credits_all","sem5_term_attempted_credits_all","sem6_term_attempted_credits_all","sem8_term_attempted_credits_all","sem1_campus","sem2_campus","sem3_campus","sem4_campus","sem5_campus","sem6_campus","sem7_campus","sem8_campus","year1_persist","year2_persist","sem1_curr_pass_gpa_hrs","sem2_curr_pass_gpa_hrs","nvals","year1_creditsearned","act_cat","z_hsgpa","z_sem1_cume_gpa","z_year1_creditsearned"
1350,1161,"SOC","1010","007","INTRODUCTORY SOCIOLOGY","B","GRD","Graded",3,9,"Y","BUFFETT","SOC-1010-007","SOC-1010-007","1161-11643","1161-11643",3,1,2,22,3.20000004768372,2280,"No. He or she attended college but did not complete a degree.",2015,,,,,,,,,,,,,,,,1,3.66700005531311,3.51799988746643,3.24600005149841,3.34999990463257,3.3989999294281,3.40100002288818,,3.47000002861023,12,15,13,12,13,12,12,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",,"NEUNO",1,1,12,15,20,27,1,-0.87194065484618,0.589050924553592,0.307523185610251
1126,1161,"LIFE","121L","116","FUND BIOLOGY LAB II","A-","GRD","Graded",1,3.67000007629395,"Y","BUFFETT","LIFE-121L-116","LIFE-121L-116","1161-7626","1161-7626",3.67000007629395,4,1,22,3.06900000572205,4545,"Yes, a Bachelor's (4 year) degree.",2015,5.64796380090498,5.07142857142857,6.09821428571429,6.76771004942339,,,4,4.842364532,4.7997998,4.009760426,4.805343511,4.894324853,5,,6.847715736,0,2.69799995422363,2.84699988365173,2.74399995803833,2.59299993515015,2.61999988555908,2.39299988746643,,2.33299994468689,15,13,7,12,15,13,12,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,"NEUNL",1,1,11,13,14,24,1,-1.20113877526424,-1.01903703846002,-0.253009232834153
1058,1158,"GEOG","1000","004","FUND WORLD REGIONAL GEOGRAPHY","A+","GRD","Graded",3,12,"Y","BUFFETT","GEOG-1000-004","GEOG-1000-004","1158-5915","1158-5915",4,5,1,27,3.6800000667572,4615,"No. He or she never attended college.",2015,,,,,,,,,,,,,,,,1,3.64000010490417,3.52699995040894,3.2960000038147,3.08100008964539,,,,,12,12,12,14,,,,"NEUNO","NEUNO","NEUNO","NEUNO",,,,,1,0,12,12,19,24,2,0.334281127325922,0.544243606983907,-0.253009232834153
1418,1158,"SOCI","101","001","INTRO TO SOCIOLOGY","A+","GRD","Graded",3,12,"Y","BUFFETT","SOCI-101-001","SOCI-101-001","1158-11749","1158-11749",4,4,1,27,3.8199999332428,0,"No. He or she attended college but did not complete a degree.",2015,4.57828054298643,5.15527950310559,5.08035714285714,4.50411861614498,,,3.162102957,3.577339901,3.970970971,3.676131322,2.908396947,1.954990215,3.238095238,,5.385786802,1,3.83200001716614,3.70700001716614,3.52099990844727,3.47099995613098,3.45700001716614,3.53699994087219,,3.53299999237061,16,16,15,14,15,16,12,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,"NEUNL",1,1,16,16,25,32,2,0.686095464296309,0.86287386043898,1.24174388301759
1211,1161,"MATH","104","006","APPLIED CALCULUS","A+","GRD","Graded",3,12,"Y","BUFFETT","MATH-104-006","MATH-104-006","1161-7806","1161-7806",4,4,2,27,4,8212,"Yes, a Bachelor's (4 year) degree.",2015,4.70316742081448,5.24378881987578,4.09375,4.50411861614498,,,2.47864184,3.242364532,2.385385385,3.07985803,2.660305344,1.954990215,3.238095238,,4.553299492,0,4,4,4,3.98200011253357,3.94300007820129,3.93899989128113,,,16,16,13,13,15,12,,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,,1,1,15,16,19,31,2,1.13842878239505,1.14167543112806,1.05489974353612
1504,1158,"FSID","188","03","GS Portal","A-","GRD","Traditional Grades",3,11.0100002288818,"Y","BUFFETT","FSID-188-03","FSID-188-03","1158-5856","1158-5856",3.67000007629395,4,2,22,3.77550005912781,6094,"Yes, an Associate's (2 year) degree.",2015,5.64796380090498,5.59316770186335,5.36607142857143,5.06260296540362,,,3.530120482,4.842364532,4.7997998,5,4.290076336,4.894324853,5,,5.385786802,1,2.84599995613098,2.91100001335144,2.71300005912781,2.57100009918213,,,,,14,13,12,9,,,,"NEUNK","NEUNK","NEUNK","NEUNK",,,,,1,0,13,13,21,26,1,0.574268974028608,-0.773426102686521,0.120679046128783
1490,1158,"MATH","100A","009","INTERMEDIATE ALGEBRA","A","GRD","Graded",3,12,"Y","BUFFETT","MATH-100A-009","MATH-100A-009","1158-7728","1158-7728",4,4,1,22,3.44000005722046,7839,"Yes, a Bachelor's (4 year) degree.",2015,4.70316742081448,6.90217391304348,6.70535714285714,4.23228995057661,,,4,3.762561576,3.266266266,3.328305235,3.43129771,1.168297456,2.054421769,,4.304568528,0,2.91700005531311,2.79200005531311,2.6949999332428,2.77099990844727,2.68199992179871,2.63299989700317,,2.65100002288818,15,13,15,13,15,14,13,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",,"NEUNL",1,1,12,12,14,24,1,-0.268829763760129,-0.65559907177168,-0.253009232834153
1041,1158,"GEOG","1000","004","FUND WORLD REGIONAL GEOGRAPHY","A+","GRD","Graded",3,12,"Y","BUFFETT","GEOG-1000-004","GEOG-1000-004","1158-5915","1158-5915",4,3,2,26,3.54999995231628,1200,"No. He or she never attended college.",2015,4.27420814479638,5.97049689440994,4.42857142857143,3.77265238879736,,,3.162102957,2.769458128,3.114114114,3.125998225,2.660305344,1.649706458,3.037414966,,4.553299492,1,3.73499989509583,3.82699990272522,3.70199990272522,3.73200011253357,3.76300001144409,3.79500007629395,,3.80699992179871,12,16,16,16,12,15,12,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",,"NEUNO",1,1,12,16,19,28,2,0.00759578671660347,0.701898925001159,0.494367325091718
1215,1158,"GEOG","1000","004","FUND WORLD REGIONAL GEOGRAPHY","A-","GRD","Graded",3,11.0100002288818,"Y","BUFFETT","GEOG-1000-004","GEOG-1000-004","1158-5915","1158-5915",3.67000007629395,3,1,18,2.78259992599487,0,"No. He or she never attended college.",2015,4.57828054298643,4.2888198757764,5.67857142857143,5.06260296540362,,,2.833515882,4.326108374,3.582582583,3.491570541,3.175572519,3.442270059,4.534013605,,5.715736041,1,3.07200002670288,2.99900007247925,2.8989999294281,2.46099996566772,2.53699994087219,2.56399989128113,,,12,15,12,9,12,12,,"NEUNO","NEUNO","NEUNO","NEUNO","NEUNO","NEUNO",,,1,1,11,12,19,23,0,-1.92085127704615,-0.398371453344086,-0.439853372315621
1251,1161,"PHIL","106","001","PHIL&CURRENT ISSUES","B+","GRD","Graded",3,9.98999977111816,"Y","BUFFETT","PHIL-106-001","PHIL-106-001","1161-10193","1161-10193",3.32999992370605,4,1,30,3.7366681098938,0,"No. He or she attended college but did not complete a degree.",2015,,,,,,,,,,,,,,,,1,2.88000011444092,2.85500001907349,2.7279999256134,2.48699998855591,2.53699994087219,2.34800004959106,,2.41599988937378,15,14,9,9,6,13,9,"NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL","NEUNL",1,1,14,14,25,28,2,0.476685763301502,-0.717001706799159,0.494367325091718
